,Date,"Weighted population (millions) [seriesoptions type=""column""]"
1,2020-05-05,117.75
2,2020-05-12,119.08
3,2020-05-19,120.09
4,2020-05-26,116.93
5,2020-06-02,117.65
6,2020-06-09,115.18
7,2020-06-16,113.33
8,2020-06-23,113.48
9,2020-06-30,114.71
10,2020-07-07,115.99
11,2020-07-14,119.77
12,2020-07-21,117.95
13,2020-07-28,NA
14,2020-08-04,NA
15,2020-08-11,NA
16,2020-08-18,NA
17,2020-08-25,NA
18,2020-08-31,104.08
19,2020-09-01,NA
20,2020-09-08,NA
21,2020-09-14,102.51
22,2020-09-15,NA
23,2020-09-22,NA
24,2020-09-28,103.01
25,2020-09-29,NA
26,2020-10-06,NA
27,2020-10-12,101.82
28,2020-10-13,NA
29,2020-10-20,NA
30,2020-10-26,102.96
31,2020-10-27,NA
32,2020-11-03,NA
33,2020-11-09,106.17
34,2020-11-10,NA
35,2020-11-17,NA
36,2020-11-23,103.79
37,2020-11-24,NA
38,2020-12-01,NA
39,2020-12-07,108.26
40,2020-12-08,NA
41,2020-12-15,NA
42,2020-12-21,106.90
43,2020-12-22,NA
44,2020-12-29,NA
45,2021-01-05,NA
46,2021-01-12,NA
47,2021-01-18,107.04
48,2021-01-19,NA
49,2021-01-26,NA
50,2021-02-01,110.19
51,2021-02-02,NA
52,2021-02-09,NA
53,2021-02-15,107.71
54,2021-02-16,NA
55,2021-02-23,NA
56,2021-03-01,107.52
57,2021-03-02,NA
58,2021-03-09,NA
59,2021-03-15,106.61
60,2021-03-16,NA
61,2021-03-23,NA
62,2021-03-29,102.18
63,2021-03-30,NA
64,2021-04-06,NA
65,2021-04-13,NA
66,2021-04-20,NA
67,2021-04-26,104.52
68,2021-04-27,NA
69,2021-05-04,NA
70,2021-05-10,101.66
71,2021-05-11,NA
72,2021-05-18,NA
73,2021-05-24,102.69
74,2021-05-25,NA
75,2021-06-01,NA
76,2021-06-07,101.48
77,2021-06-08,NA
78,2021-06-15,NA
79,2021-06-21,101.64
80,2021-06-22,NA
81,2021-06-29,NA
82,2021-07-05,102.77
83,2021-07-06,NA
84,2021-07-13,NA
85,2021-07-20,NA
86,2021-07-27,NA
87,2021-08-02,104.65
88,2021-08-03,NA
89,2021-08-10,NA
90,2021-08-16,101.16
91,2021-08-17,NA
92,2021-08-24,NA
93,2021-08-30,104.00
94,2021-08-31,NA
95,2021-09-07,NA
96,2021-09-13,104.46
97,2021-09-14,NA
98,2021-09-21,NA
99,2021-09-27,102.64
100,2021-09-28,NA
101,2021-10-05,NA
102,2021-10-11,101.42
103,2021-10-12,NA
104,2021-10-19,NA
105,2021-10-26,NA
106,2021-11-02,NA
107,2021-11-09,NA
108,2021-11-16,NA
109,2021-11-23,NA
110,2021-11-30,NA
111,2021-12-07,NA
112,2021-12-13,100.79
113,2022-01-10,107.30
